Asset_ID,Asset_Name,Asset_Type,Tools/Techniques,Criticality,Justification
A1,Repository items and files,Data,Not Specified,High,"The use case repeatedly describes uploading, viewing, downloading, preserving, correcting, and removing repository files and items. Compromise could expose restricted content, alter scholarly records, or make materials unavailable."
A2,Reports and datasets,Data,Not Specified,High,"Reports and datasets are repeatedly selected, emailed, revised, unpublished, versioned, searched, downloaded, and marked not viewable. Their confidentiality, integrity, and availability directly affect patrons, administrators, and repository trust."
A3,Scholarly works and publications,Data,Not Specified,High,"Faculty upload scholarly work and collect publications into online access points. Unauthorized disclosure, alteration, or loss would affect attribution, preservation, and public access."
A4,Research data files,Data,"CC-By; CC0",High,"Faculty and students upload data files, sometimes associated with publications or embargoed dissertations. These files may require attribution, licensing clarity, and controlled access."
A5,Supplementary files,Data,"DOI",Medium,"The use case mentions supplementary files such as datasets and slideshows with DOIs as needed. Incorrect or unavailable supplementary files could impair the completeness and citation of a scholarly work."
A6,Large files over 1GB,Data,Not Specified,Medium,"The use case requires sharing files larger than 1GB while still allowing users to download them. Availability is security-relevant because failure could prevent access to funder-required materials."
A7,Streaming media content,Data,Streaming media,Medium,"Streaming media is delivered from within the repository and must remain accessible. Compromise could affect continued access or integrity of non-text repository materials."
A8,Item descriptive metadata,Data,Not Specified,High,"The use case explicitly lists metadata fields including title, description, author, document type, status, file locations, subscribable flag, subject area, release frequency, and keywords. Metadata integrity is critical for discovery, attribution, access decisions, and preservation."
A9,Custom metadata fields,Configuration,Not Specified,Medium,"Library staff can create custom metadata fields and allow searching of those fields. Incorrect configuration could reduce discoverability or misrepresent project-specific content."
A10,Author identity metadata,Data,"ORCID; ResearcherID",High,"The use case requires associating researcherID or ORCID with submissions to avoid ambiguity between authors with the same name. Integrity is high because incorrect identity metadata harms attribution and scholarly disambiguation."
A11,Reuse rights and license metadata,Configuration,"CC license; CC-By; CC0",High,"Faculty need to see reuse rights and assign CC licenses to deposited files. Incorrect license configuration could cause unauthorized reuse or improper restriction of materials."
