Requirement_ID,Asset_ID,Threat_ID,Security_Requirement,Rationale
R1,A2,T1,"The system shall enforce the UC2 failed-login thresholds exactly as specified: lock a username after 3 failed attempts for 60 minutes, lock an IP after 6 failed attempts for 60 minutes, and block further authentication until the lockout period expires or the account/IP is re-authorized when the ban condition is met.","This reduces the feasibility of password-guessing attacks against stored user credentials."
R2,A4,T2,"The system shall issue a new authenticated session identifier after successful authentication and shall invalidate any pre-authentication session identifier so that a session identifier presented before login cannot be used after login.","This prevents an attacker from reusing a fixed or pre-established session token after the victim authenticates."
R3,A4,T3,"The system shall track lockout and ban counters separately for usernames and IP addresses exactly as defined in UC2 and shall reject authentication attempts for locked or banned subjects without changing their state except through expiration or administrator re-authorization.","This makes account-lockout behavior deterministic and testable while limiting denial-of-service abuse paths."
R4,A1,T4,"The system shall permit create, delete, and update operations on user accounts only when the logged-in user is an Admin and shall reject the operation for all other roles.","This enforces the admin-only boundary explicitly stated for user-management actions."
R5,A1,T5,"For every user create or update operation, the system shall persist only a role value from the enumerated UC1 role list and an enabled value explicitly supplied through the defined user-management flow; any other submitted value set shall be rejected and no account change shall be committed.","This prevents tampering with role or activation state outside the allowed input domain."
R6,A3,T6,"The password-reset flow shall return the same user-facing response for unrecognized usernames and accounts without a valid email and shall create a reset email only when the account and email prerequisites are satisfied.","This prevents attackers from distinguishing account states through reset-flow responses."
R7,A3,T7,"The system shall accept a temporary password or reset link only while it is unexpired and shall invalidate it immediately after a successful password change.","This limits the replay window for stolen or intercepted reset credentials."
R8,A5,T8,"The system shall allow viewing or editing of demographic records only within the use-case-authorized combinations of actor and target record defined in UC4 and UC12, and shall deny all other access attempts.","This enforces least privilege around personally identifiable demographic data."
R9,A5,T9,"The system shall validate every demographic field against the UC4 data-format rules before storing changes and shall reject the entire update if any field is invalid.","This makes demographic-record tampering through malformed input testable and prevents partial corrupt writes."
R10,A6,T10,"The system shall permit appointment approval, denial, or update actions only to the HCP involved in the request and shall record each state change in the transaction log.","This preserves appointment-state integrity and binds status transitions to the intended actor."
R11,A7,T11,"The system shall permit office-visit creation or modification only to an authenticated HCP documenting the visit and shall present office-visit data to patients in read-only form.","This enforces the role separation stated in the office-visit use case."
R12,A8,T12,"The system shall validate each submitted basic-health-metric field against the UC8 format and range rules before save, and shall deny create or edit if any submitted metric is outside the allowed format or range.","This protects the integrity of medically relevant measurements."
R13,A9,T13,"The system shall allow only authenticated HCP users to create, edit, or delete diagnosis records, and shall allow patients to view but not modify their diagnosis data.","This preserves the documented HCP-write/patient-read-only access pattern for diagnosis records."
R14,A10,T14,"The system shall permit add, edit, delete, and view operations on the diagnosis catalog only to an authenticated administrator and shall reject such operations for all other roles.","This protects the integrity of the shared ICD-10 configuration data used in diagnosis entry."
R15,A11,T15,"The system shall restrict prescription create, edit, and delete operations to the HCP workflow and NDC add, edit, and delete operations to the administrator workflow, while validating all prescription and NDC fields against UC9 before commit.","This preserves medication-data integrity across both clinical and administrative update paths."
R16,A12,T16,"The system shall record each defined transaction with the logged-in MID or IP, any secondary MID, transaction type, and current timestamp as specified in UC3, and stored log records shall not be alterable through ordinary application workflows.","This supports non-repudiation and reduces the risk of audit-log manipulation."
R17,A12,T17,"The system shall display access-log entries only for the authenticated user's own access log and, when a date range is supplied, only entries whose timestamps fall within the requested valid range.","This limits disclosure of audit history beyond the subject and range authorized by the use case."
R18,A13,T18,"For password-change or reset notification emails, the system shall include the user's MID but shall not include any password value, and it shall log the notification event when the email is sent.","This minimizes sensitive-data exposure in security-event notifications while preserving traceability."
