Asset_ID,Asset_Name,Asset_Type,Tools/Techniques,Criticality,Justification
A1,User account record (username/MID role enabled status),Data,"Admin create/delete/update user; role assignment; enabled flag",High,"Compromise can alter identity, authorization scope, and account availability across the system."
A2,User password and password-change inputs,Credential,"Authentication; password change; password confirmation",High,"Compromise directly affects authentication confidentiality and account integrity."
A3,Temporary password and password reset link,Credential,"Email-based password reset; temporary password expiration",High,"Compromise can enable full account takeover during reset flow."
A4,Authentication and session state (logged-in session inactivity timeout lockout ban state),State,"Login; 10-minute inactivity timeout; user/IP lockout; user/IP ban",High,"Compromise impacts authentication integrity and system availability."
A5,Patient demographic record,Data,"View/edit demographics; field validation",High,"Contains personal data and is editable by multiple roles in defined flows."
A6,Appointment request and status record,Data,"Patient request; HCP approve/deny/update; patient view/delete",Medium,"Impacts workflow integrity and may expose patient-HCP scheduling information."
A7,Office visit record,Data,"HCP document office visit; patient view",High,"Contains clinical encounter data and anchors additional medical records."
A8,Basic health metrics record,Data,"HCP create/edit; patient view",High,"Contains sensitive medical information whose integrity affects care."
A9,Diagnosis record for a patient visit,Data,"HCP create/edit/delete; patient view",High,"Contains sensitive diagnostic information and provider attribution."
A10,Diagnosis catalog (ICD-10 code and description list),Configuration,"Admin add/edit/delete/view diagnosis options",Medium,"Defines selectable diagnostic codes and descriptions used by clinical workflows."
A11,Prescription and NDC record,Data,"HCP create/edit/delete prescription; patient view; admin add/edit/delete NDC",High,"Medication integrity and confidentiality are safety-critical and privacy-sensitive."
A12,Audit/access log record,Data,"System transaction logging; user access-log viewing by date range",High,"Critical for forensic integrity, accountability, and privacy."
A13,Email notification content and email-tracking records,System Component,"Password-change/reset alert; appointment status alert; lockout alert; email tracking",Medium,"Contains user identifiers and event details and supports security-relevant communications."
A14,Authorization policy as expressed by role-based behavior in the use cases,Configuration,"Role-based home page; admin-only user/diagnosis/NDC management; patient/HCP-specific flows",High,"Improper enforcement would enable unauthorized viewing, editing, or administrative actions."
