Asset_ID,Asset_Name,Asset_Type,Tools/Techniques,Criticality,Justification
A1,iTrust2 Medical Records system,System Component,Not Specified,High,"The use cases repeatedly identify iTrust2 as the system used to authenticate users and manage medical records. Compromise could affect confidentiality, integrity, or availability of patient and administrative data. "
A2,User account,Data,Not Specified,High,"Users are created, deleted, authenticated, locked out, and banned across the use cases. Compromise could affect identity, authorization, and access to medical records."
A3,User name / Medical ID,Data,Not Specified,High,"The user name serves as the user's Medical ID and appears in authentication, logging, and patient association flows. Incorrect disclosure or modification could affect identity, auditability, and access control."
A4,Password,Credential,Not Specified,High,"Passwords are entered during user creation, authentication, password change, and reset. Compromise would directly enable unauthorized access."
A5,Repeated password / password confirmation,Credential,Not Specified,High,"Repeated password fields are used to confirm password creation or change. Exposure would reveal the same secret or assist credential compromise."
A6,Role assignment,Configuration,Not Specified,High,"Roles such as Patient, HCP, Admin, Emergency Responder, and Lab Tech determine system capabilities. Unauthorized modification could grant inappropriate privileges."
A7,User enabled / active flag,State,Not Specified,High,"The admin specifies whether a user is enabled or active in the system. Incorrect changes could allow unauthorized access or deny legitimate access."
A8,Authenticated session,State,"Session termination after ten minutes of inactivity",High,"Authentication creates a session that grants role-based entry and must terminate after inactivity. Compromise could permit unauthorized use of an active account."
A9,Login status,State,Not Specified,High,"Users must authenticate before accessing protected use cases. Incorrect login state could allow unauthorized entry or block legitimate access."
A10,Failed login attempt count,State,Not Specified,Medium,"The system tracks failed attempts for usernames and IP addresses to trigger lockouts. Integrity of this state affects brute-force resistance and user availability."
A11,User lockout status,State,"60-minute lockout",High,"A username is locked after repeated failed attempts and may later be banned. Compromise could either disable users or bypass lockout protections."
A12,IP lockout status,State,"60-minute lockout",High,"An IP address is locked after repeated failed login attempts. Incorrect state could enable attack traffic or deny service to legitimate users."
A13,User ban status,State,Not Specified,High,"A user may be banned after repeated lockouts until re-authorized by an administrator. Improper modification directly affects account availability and security enforcement."
A14,IP ban status,State,Not Specified,High,"An IP address may be banned after repeated lockouts. Incorrect modification could permit continued abuse or block legitimate access."
A15,IP address,Data,"IPv4 or IPv6 address format",Medium,"IP addresses are logged for failed login and IP lockout or ban events. They support security monitoring and enforcement, but are less sensitive than credentials or medical data."
A16,Transaction log / audit log,Data,Not Specified,High,"The use cases state that events creating, viewing, editing, deleting information, login failures, valid authentication, and logouts are logged. Compromise would undermine forensic analysis and accountability."
A17,Transaction code,Data,Not Specified,Medium,"Transaction codes identify specific logged events across use cases. Integrity is important for accurate auditing, but the code alone is less sensitive than medical records or credentials."
A18,Logged-in MID,Data,Not Specified,High,"Logged-in MID is recorded in transaction logs to identify the actor. Tampering could conceal inappropriate access or misattribute actions."
A19,Secondary MID,Data,Not Specified,High,"Secondary MID identifies the user whose information is accessed in logged events. Tampering could obscure patient impact and compromise audit integrity."
A20,Transaction timestamp,Data,"YYYY-MM-DD HH:MM:SS",Medium,"The current timestamp is recorded for logged actions and access logs. Integrity is important for forensics and timeline reconstruction."
