Requirement_ID,Asset_ID,Threat_ID,Security_Requirement,Rationale
R1,A1,T1,"The system shall allow repository item file upload or replacement only by users whose role is authorized to deposit, correct, or manage the affected item or collection.","Restricting upload and replacement permissions reduces the likelihood that repository items and files are altered by unauthorized users."
R2,A1,T1,"The system shall retain the uploader identity, upload timestamp, affected item identifier, and file version identifier for every repository file upload or replacement.","Recording file-change accountability reduces repudiation and supports investigation when repository items and files are malicious or incorrect."
R3,A1,T1,"The system shall preserve a prior retrievable version when an existing repository file is replaced or corrected.","Maintaining a prior version reduces the impact of tampering by allowing recovery of repository items and files."
R4,A1,T2,"The system shall enforce the configured visibility, embargo, campus-only, University-only, private, or public access status before allowing any repository item or file to be viewed or downloaded.","Access checks tied to the configured status reduce unauthorized disclosure of restricted repository items and files."
R5,A1,T2,"The system shall deny access to repository item files when no explicit access decision can be derived from the item's configured access status.","Default denial reduces the chance that incomplete access information exposes repository items and files."
R6,A2,T3,"The system shall restrict report and dataset content, name, status, and version changes to users authorized to manage the affected report or dataset.","Role-limited modification reduces the likelihood that reports and datasets are altered outside the described administrator workflows."
R7,A2,T3,"The system shall record the prior value, new value, actor, timestamp, and affected report or dataset identifier for each report or dataset name, status, content, or version change.","Auditing report and dataset changes reduces repudiation and supports correction of unauthorized or erroneous modifications."
R8,A2,T4,"The system shall require each report or dataset email-selection update to be associated with the authenticated patron account or an authorized administrator action.","Binding notification changes to an account or administrator action reduces tampering with report and dataset email selections."
R9,A2,T4,"The system shall record report or dataset notification-selection changes with actor, timestamp, affected patron account, and affected report or dataset identifiers.","Auditability reduces the impact of unauthorized email-selection manipulation by allowing disputed changes to be traced."
R10,A4,T5,"The system shall accept uploaded research data files only through the repository's authorized deposit workflow for the submitting faculty member, student, or authorized staff member.","Limiting accepted uploads to authorized deposit workflows reduces the likelihood of malicious or unauthorized research data files entering the repository."
R11,A4,T5,"The system shall preserve metadata linking each uploaded research data file to its depositor, associated publication or dissertation when provided, license when provided, and upload timestamp.","Traceable deposit metadata reduces repudiation and supports review of compromised research data files."
R12,A5,T6,"The system shall restrict replacement or alteration of supplementary files to users authorized to manage the associated scholarly work.","Restricting supplementary-file modification reduces the likelihood that misleading files are attached to scholarly works."
R13,A5,T6,"The system shall maintain an association record between each supplementary file and the scholarly work it supports, including any DOI assigned to the supplementary file.","Maintaining explicit associations reduces the impact of tampering by making incorrect or missing supplementary file links verifiable."
R14,A8,T7,"The system shall validate item descriptive metadata updates so required fields from the use case, including title, author, document type, status, file locations, subscribable flag, subject area, release frequency, and keywords, cannot be submitted with unsupported or empty values where the workflow requires a value.","Metadata validation reduces the likelihood that manipulated descriptive metadata misdirects discovery or misrepresents repository items."
R15,A8,T7,"The system shall record all item descriptive metadata changes with the actor, timestamp, item identifier, field name, prior value, and new value.","Detailed metadata change records reduce repudiation and support restoration after item descriptive metadata tampering."
R16,A9,T8,"The system shall restrict creation, removal, and modification of custom metadata fields to authorized library staff or administrators for the affected collection or deposit workflow.","Limiting who can alter custom metadata fields reduces the likelihood of search distortion or unintended information exposure."
