Threat_ID, Asset_ID, Contextualized_Asset, Threat_Description, STRIDE_Categories, Maps_to_Use_Case, Source, CAPEC_References, CAPEC_Rationale
T1, A2, "Password (credential used for authentication in UC2, UC11)", "An attacker performs a dictionary-based password attack or password spraying against the authentication mechanism to guess a user''s password, bypassing authentication and impersonating the user.", Spoofing, "UC2; UC11", CAPEC, "CAPEC-16: Dictionary-based Password Attack; CAPEC-565: Password Spraying", "UC2 describes password-based authentication with lockout after 3 failed attempts; an attacker can systematically try common passwords (CAPEC-16) or attempt a few common passwords across many accounts to avoid lockout (CAPEC-565)."
T2, A16, "Session (authenticated user session state in UC2, UC14)", "An attacker steals, predicts, or replays a valid session identifier to impersonate an authenticated user, bypassing authentication and gaining unauthorized access to the system.", Spoofing; Elevation of Privilege, "UC2; UC14", CAPEC, "CAPEC-59: Session Credential Falsification through Prediction; CAPEC-60: Reusing Session IDs (aka Session Replay)", "UC2 describes session termination after 10 minutes of inactivity, but does not specify session identifier strength. An attacker can predict weak session IDs (CAPEC-59) or capture and reuse a valid session ID (CAPEC-60) to hijack the session."
T3, A17, "User Lockout Status (state tracking whether a user account is temporarily locked out after failed logins, as defined in UC2)", "An attacker deliberately causes repeated failed login attempts for a target username, triggering the 3‑failed‑attempt lockout and denying the legitimate user access to the system for 60 minutes.", Denial of Service, "UC2", CAPEC, "CAPEC-2: Inducing Account Lockout", "UC2 specifies that after 3 failed login attempts a username is locked out for 60 minutes. An attacker can exploit this mechanism by intentionally submitting wrong passwords to lock out the victim (CAPEC-2)."
T4, A18, "IP Lockout Status (state tracking whether an IP address is temporarily locked out after 6 failed login attempts, as defined in UC2)", "An attacker performs 6 failed login attempts from a shared IP address (e.g., a corporate NAT or public Wi‑Fi) to trigger the IP lockout, denying service to all legitimate users behind that IP address for 60 minutes.", Denial of Service, "UC2", CAPEC, "CAPEC-2: Inducing Account Lockout", "UC2 states that an IP address is locked out for 60 minutes after 6 failed attempts from that IP. An attacker can abuse this mechanism to block an entire network segment (CAPEC-2)."
T5, A19, "User Ban Status (state tracking permanent user ban after 3 lockouts in 24 hours, as defined in UC2)", "An attacker causes three lockout events for a target user within a 24‑hour period (e.g., by repeated failed login attempts), triggering a permanent account ban that requires administrator re‑authorization, causing prolonged denial of service.", Denial of Service; Spoofing, "UC2", CAPEC, "CAPEC-2: Inducing Account Lockout", "UC2 specifies that a user is banned after 3 lockouts in a 24‑hour period. An attacker can repeatedly induce lockouts (CAPEC-2) to escalate from temporary lockout to permanent ban."
T6, A21, "Login Attempt Counter (state tracking failed login attempts per user and per IP, used to enforce lockout policies in UC2)", "An attacker manipulates the login attempt counters (e.g., by exploiting a race condition or lack of integrity protection) to either inflate the count prematurely (causing lockout without real failures) or reset the count to avoid lockout after actual failures.", Tampering, "UC2", CAPEC, "CAPEC-268: Audit Log Manipulation", "UC2 relies on counters to enforce lockout thresholds. If the counters are not stored with integrity controls, an attacker could tamper with them to defeat the lockout mechanism or cause false lockouts; CAPEC‑268 describes manipulation of security state data."
T7, A3, "Role (configuration setting that defines a user''s permissions; possible roles include Patient, HCP, Admin, as listed in UC1)", "An attacker with low privileges (e.g., Patient) modifies their own role assignment (e.g., to Admin) by exploiting an insecure direct object reference or lack of authorization checks in the user management function, gaining unauthorized administrative capabilities.", Elevation of Privilege; Tampering, "UC1", CAPEC, "CAPEC-58: Restful Privilege Elevation; CAPEC-233: Privilege Escalation", "UC1 allows an Admin to assign roles. If the role assignment endpoint does not properly validate the requesting user''s permissions, an attacker could escalate their own privileges (CAPEC‑233, CAPEC‑58)."
T8, A7, "Diagnosis Data (medical diagnosis information including ICD‑10 code, date, HCP, and notes, as described in UC10)", "An attacker gains unauthorized access to a patient''s diagnosis records by intercepting network traffic, exploiting a broken access control, or querying the system without proper authorization, leading to exposure of sensitive medical information.", Information Disclosure, "UC10", CAPEC, "CAPEC-277: Data Interchange Protocol Manipulation", "UC10 indicates that diagnosis data is created by HCPs and viewed by patients. If the data interchange protocol lacks encryption or access controls, an attacker could intercept or query it (CAPEC‑277)."
T9, A9, "Office Visit Data (records of clinical visits including notes, patient, hospital, date, time, and appointment type, as described in UC7)", "An attacker modifies the content of an office visit record (e.g., changing a diagnosis, altering notes, or deleting a visit) by intercepting and tampering with the data in transit or by directly accessing the data store without proper integrity protections.", Tampering, "UC7", CAPEC, "CAPEC-277: Data Interchange Protocol Manipulation", "UC7 allows HCPs to document office visits and patients to view them. Without integrity controls, an attacker could alter the structured clinical data during transmission or storage (CAPEC‑277)."
T10, A11, "Demographics Data (PII including name, date of birth, address, phone, email, ethnicity, gender, and parental MIDs, as defined in UC4 and UC12)", "An attacker accesses patient demographics without authorization, for example by exploiting an insecure direct object reference in the HCP edit demographics function (UC12) or by querying the system without proper role checks, leading to disclosure of personal identifiable information.", Information Disclosure, "UC4; UC12", CAPEC, Insufficient Information, "While UC4 and UC12 specify that demographics can be viewed by patients and edited by HCPs/patients, the use‑case text does not provide sufficient detail about access control implementation or network protocols to justify a specific CAPEC pattern. The threat is grounded in the sensitivity of the data."
