Threat_ID,Contextualized_Asset,Threat_Description,STRIDE_Category,Maps_to_Use_Case,Source,CAPEC_Reference
T1,"A2 User password and password-change inputs","An attacker repeatedly submits guessed passwords against login or password-change related flows to obtain valid credentials for a user account.","Spoofing","UC2; UC11","CAPEC","CAPEC-49 Password Brute Forcing"
T2,"A4 Authentication and session state","An attacker reuses or fixes a session identifier so that after a victim authenticates, the attacker can act within the victim's authenticated session.","Spoofing; Elevation of Privilege","UC2","CAPEC","CAPEC-61 Session Fixation; CAPEC-21 Exploitation of Trusted Identifiers"
T3,"A4 Authentication and session state","An attacker intentionally submits repeated failed logins for a known username or from a targeted IP to trigger lockout or ban and deny legitimate access.","Denial of Service","UC2","CAPEC","CAPEC-2 Inducing Account Lockout"
T4,"A1 User account record","A user without administrative privilege attempts to create, delete, or alter user records, roles, or enabled status by reaching admin functionality or submitting forged requests.","Elevation of Privilege; Tampering","UC1; UC14","CAPEC","CAPEC-122 Privilege Abuse"
T5,"A1 User account record","An attacker tampers with role or enabled-state inputs during user creation or update so a new or existing account receives unauthorized privileges or is wrongly activated/deactivated.","Tampering; Elevation of Privilege","UC1","CAPEC","CAPEC-153 Input Data Manipulation; CAPEC-122 Privilege Abuse"
T6,"A3 Temporary password and password reset link","An attacker probes the reset flow with usernames and learns whether an account exists or has a valid email based on distinct error behavior.","Information Disclosure","UC11","CAPEC","CAPEC-118 Collect and Analyze Information"
T7,"A3 Temporary password and password reset link","An attacker who obtains a temporary password or reset link reuses it before expiration to reset the victim account.","Spoofing; Elevation of Privilege","UC11; UC14","CAPEC","CAPEC-21 Exploitation of Trusted Identifiers"
T8,"A5 Patient demographic record","An authenticated user accesses or edits a patient demographic record outside the role and patient context intended by the use cases.","Information Disclosure; Tampering; Elevation of Privilege","UC4; UC12","CAPEC","CAPEC-122 Privilege Abuse"
T9,"A5 Patient demographic record","An attacker submits malformed or unexpected demographic field values to bypass validation or corrupt stored patient demographic data.","Tampering","UC4; UC12","CAPEC","CAPEC-153 Input Data Manipulation"
T10,"A6 Appointment request and status record","A patient or unauthorized actor tampers with appointment status transitions or approval/denial actions that are intended for the HCP involved in the request.","Tampering; Elevation of Privilege","UC6; UC14","CAPEC","CAPEC-122 Privilege Abuse; CAPEC-153 Input Data Manipulation"
T11,"A7 Office visit record","An unauthorized user views or modifies an office visit or its core encounter data by bypassing the role constraints between HCP documentation and patient read-only viewing.","Information Disclosure; Tampering; Elevation of Privilege","UC7","CAPEC","CAPEC-122 Privilege Abuse"
T12,"A8 Basic health metrics record","An unauthorized user views or alters basic health metrics, or submits manipulated metric values that corrupt the medical record.","Information Disclosure; Tampering; Elevation of Privilege","UC8","CAPEC","CAPEC-122 Privilege Abuse; CAPEC-153 Input Data Manipulation"
T13,"A9 Diagnosis record for a patient visit","An unauthorized user views, creates, edits, or deletes diagnosis data for a patient record outside the allowed HCP/patient workflow.","Information Disclosure; Tampering; Elevation of Privilege","UC10","CAPEC","CAPEC-122 Privilege Abuse"
T14,"A10 Diagnosis catalog","A non-admin user tampers with the ICD-10 diagnosis list by adding, editing, or deleting entries, affecting downstream clinical selection and documentation.","Tampering; Elevation of Privilege","UC10","CAPEC","CAPEC-122 Privilege Abuse; CAPEC-153 Input Data Manipulation"
T15,"A11 Prescription and NDC record","An unauthorized user modifies prescription details or NDC reference data, or submits manipulated input that changes medication meaning, dose, dates, or renewals.","Tampering; Elevation of Privilege","UC9","CAPEC","CAPEC-122 Privilege Abuse; CAPEC-153 Input Data Manipulation"
T16,"A12 Audit/access log record","An attacker injects, alters, deletes, or forges audit or access-log entries to hide activity or mislead investigators and patients reviewing access history.","Repudiation; Tampering","UC3; UC13","CAPEC","CAPEC-268 Audit Log Manipulation; CAPEC-93 Log Injection-Tampering-Forging"
T17,"A12 Audit/access log record","An authenticated user obtains log entries outside the date range or subject context intended for their own access-log view, exposing other users' access history.","Information Disclosure","UC13","CAPEC","CAPEC-122 Privilege Abuse"
T18,"A13 Email notification content and email-tracking records","Sensitive event emails disclose more information than necessary or are accessible to unauthorized parties, revealing identifiers or security event details.","Information Disclosure","UC11; UC14","CAPEC","CAPEC-37 Retrieve Embedded Sensitive Data"
