Asset_ID, Asset_Name, Asset_Type, Tools/Techniques, Criticality, Justification
A1, User Name (MID), Data, Not Specified, Medium, "User name serves as the Medical ID (MID) for authentication and identification; its disclosure could enable targeted impersonation attempts, though it is not a secret."
A2, Password, Credential, Not Specified, High, "Password is a secret used for authentication; its compromise directly allows unauthorized access to the system and patient data."
A3, Role, Configuration, Not Specified, High, "Role assignment determines a user's permissions (e.g., Patient, HCP, Admin); unauthorized modification could grant excessive privileges."
A4, Enabled Flag, State, Not Specified, High, "The enabled/active flag controls whether a user can log in; tampering could disable legitimate users or re-enable banned accounts."
A5, User List, Data, Not Specified, Medium, "The list of all users (usernames) could be used for account enumeration or targeted attacks, but does not contain secrets."
A6, Transaction Logs, Data, Not Specified, High, "Logs record all create, view, edit, delete actions (e.g., transaction codes 100-104); integrity and confidentiality are critical for forensic analysis."
A7, Diagnosis Data, Data, Not Specified, High, "Diagnosis includes ICD-10 code, date, notes, and HCP; this is sensitive medical information with high confidentiality requirements."
A8, Diagnosis List, Data, Not Specified, Medium, "The master list of ICD-10 codes and descriptions is used system-wide; integrity is important to ensure correct diagnoses."
A9, Office Visit Data, Data, Not Specified, High, "Office visit records contain clinical notes, patient identifiers, appointment type, hospital, date, and time; unauthorized access violates patient privacy."
A10, Prescription Data, Data, Not Specified, High, "Prescriptions include drug, dose, start/end dates, and renewals; they are sensitive medical orders with high integrity requirements."
A11, Demographics Data, Data, Not Specified, High, "Demographics include name, date of birth, address, phone, email, ethnicity, gender, and parental MIDs; this is personally identifiable information (PII)."
A12, Hospital Data, Data, Not Specified, Medium, "Hospital information (name, address, state, zip) is less sensitive but could be used for operational disruption or social engineering."
A13, Appointment Request Data, Data, Not Specified, Medium, "Appointment requests contain HCP, date, time, comments, type, and status; unauthorized modification could disrupt care scheduling."
A14, Basic Health Metrics, Data, Not Specified, High, "Health metrics (height, weight, blood pressure, cholesterol, smoking status) are sensitive clinical measurements with high confidentiality and integrity needs."
A15, Drug NDC Data, Data, Not Specified, Medium, "NDC codes, drug names, and descriptions are reference data; integrity is important to prevent prescription errors, but availability is less critical."
A16, Session, State, Not Specified, High, "An authenticated session represents a logged-in user state; session hijacking would allow full impersonation and unauthorized access."
A17, User Lockout Status, State, Not Specified, High, "Lockout status per username (after 3 failed attempts for 60 minutes) affects account availability; compromise could cause denial of service for users."
A18, IP Lockout Status, State, Not Specified, High, "IP lockout status (after 6 failed attempts for 60 minutes) affects network-level availability; tampering could block legitimate users or networks."
A19, User Ban Status, State, Not Specified, High, "User ban (after 3 lockouts in 24 hours) permanently disables an account until administrator re-authorization; high availability impact."
A20, IP Ban Status, State, Not Specified, High, "IP ban permanently blocks an IP address; high availability impact for all users from that address."
A21, Login Attempt Counter, State, Not Specified, Medium, "Counters track failed login attempts per user and per IP; they trigger lockout policies and their integrity is needed to prevent premature or missed lockouts."
A22, Session Inactivity Timeout, Configuration, Not Specified, Medium, "The 10-minute inactivity timeout terminates idle sessions; this configuration balances security and usability, and misconfiguration could increase hijacking risk."
A23, User Lockout Policy, Configuration, Not Specified, Medium, "Policy specifying 3 failed attempts and 60-minute lockout period; it defines authentication brute-force protection strength."
A24, IP Lockout Policy, Configuration, Not Specified, Medium, "Policy specifying 6 failed attempts per IP and 60-minute lockout; it protects against distributed brute-force attacks."
A25, Password Format Rules, Configuration, Not Specified, Medium, "Rules requiring 6-20 characters for passwords; they define minimum password complexity and affect resistance to guessing attacks."
A26, Temporary Password Expiration, Configuration, Not Specified, Medium, "Temporary password expiration (for password reset) limits the window for misuse; misconfiguration could allow indefinite use of reset tokens."
A27, Email Address, Data, Not Specified, Medium, "Email address from demographics is used for password reset and notifications; it is PII with moderate confidentiality requirements."
A28, Email Notification Content, Data, Not Specified, Medium, "Emails about password changes, appointment status, and account lockout contain sensitive event information; interception could leak user actions."
A29, IP Address, Data, Not Specified, Low, "IP address is logged for failed logins and lockouts; it identifies network origins but is not secret and is often transient or shared."
A30, Access Log Entries (Patient Viewable), Data, Not Specified, High, "Access logs include accessor name, role, date/time, and transaction type; they show who accessed patient data and are critical for detecting unauthorized access."
A31, Temporary Password, Credential, Not Specified, High, "Temporary password sent via email for reset is a one-time secret; its compromise allows account takeover before expiration."
A32, User Name Format Rules, Configuration, Not Specified, Medium, "Rules requiring 6-20 alpha characters and symbols - or _ for usernames; they define valid identifiers and affect enumeration resistance."
A33, ICD-10 Code Format Rules, Configuration, Not Specified, Medium, "Format rules (e.g., letter-digit-letter/digit, up to 7 characters) for diagnosis codes ensure data consistency; integrity matters for correct diagnosis recording."
A34, Lockout-to-Ban Threshold, Configuration, Not Specified, Medium, "Rule that 3 lockouts in a 24-hour period leads to a ban; defines escalation from temporary lockout to permanent ban, affecting availability and security."
