Requirement_ID, Asset_ID, Threat_ID, Security_Requirement, Rationale
R1, A2, T1, "The system must apply IP-based rate limiting that counts all failed authentication attempts from a single IP address across any username, temporarily blocking the IP after a configurable threshold (e.g., 10 attempts per minute) to mitigate password spraying attacks.", "This requirement reduces the effectiveness of password spraying (T1) by preventing an attacker from attempting many common passwords from one IP address without triggering a per-user lockout."
R2, A16, T2, "The system must generate session identifiers using a cryptographically secure pseudo-random number generator, transmit them only over TLS-encrypted channels, and regenerate a new session identifier upon successful user authentication.", "This requirement mitigates session hijacking (T2) by ensuring session IDs are unpredictable and protected against interception or replay."
R3, A17, T3, "The system must send an email notification (as in UC14) to the user’s registered email address whenever their account is locked out, including the timestamp and source IP address of the attempts.", "This requirement allows legitimate users to detect malicious lockout attempts (T3) and take action, reducing the impact of denial-of-service attacks."
R4, A18, T4, "The system must require a CAPTCHA challenge after the third failed login attempt from any IP address, before counting further failures toward IP lockout, to distinguish automated attacks from legitimate users on shared IPs.", "This requirement mitigates IP lockout denial-of-service (T4) by making it harder for an attacker to automatically trigger lockouts from a shared IP address."
R5, A19, T5, "The system must only count lockout events toward the permanent ban threshold if the lockouts are confirmed to result from multiple failed login attempts after a CAPTCHA verification has been passed or after a waiting period.", "This requirement prevents an attacker from trivially inducing a permanent ban (T5) by repeatedly causing lockouts without additional verification."
R6, A21, T6, "The system must store login attempt counters in a server-side database with integrity protections (e.g., using database row-level checksums or signed tokens) that prevent unauthorized modification by the client.", "This requirement ensures that login attempt counters (T6) cannot be tampered with by an attacker to bypass lockout policies or cause false lockouts."
R7, A3, T7, "The system must enforce that any request to modify a user’s role can only be performed by an authenticated user with the Admin role, and must re-authenticate the admin before processing the role change.", "This requirement prevents privilege escalation (T7) by ensuring that role modifications are strictly controlled and require appropriate authorization."
R8, A7, T8, "The system must enforce that diagnosis data (ICD-10 code, date, notes) can only be accessed by the patient who owns the data and HCPs who have a documented relationship with that patient, and all transmission must be over TLS.", "This requirement mitigates unauthorized information disclosure of diagnosis data (T8) by enforcing access control and transport encryption."
R9, A9, T9, "The system must maintain an immutable, append-only audit trail of all changes to office visit data, including previous values and the MID of the modifying user, and must detect tampering using cryptographic hashing or digital signatures.", "This requirement mitigates tampering of office visit data (T9) by providing integrity verification and non-repudiation."
R10, A11, T10, "The system must restrict access to demographics data based on role and relationship: patients can view and edit their own demographics; HCPs can view and edit demographics of their assigned patients; Admins can view all demographics. All access must be logged and transmitted over TLS.", "This requirement mitigates information disclosure of demographics (T10) by enforcing role-based access control and transport encryption."
R11, A6, T11, "The system must store transaction logs in an append-only, tamper-evident format (e.g., using a hash chain) where no user, including administrators, can modify or delete existing log entries. Write access must be restricted to the logging subsystem only.", "This requirement prevents tampering and repudiation (T11) by making logs immutable and auditable."
R12, A30, T12, "The system must enforce that a user can view access log entries only where the patient (secondary MID) matches the user's own MID, unless the user has an explicit role (e.g., Admin) that permits viewing logs for other patients.", "This requirement prevents information disclosure of access logs (T12) by ensuring proper isolation between different patients’ logs."
R13, A31, T13, "The system must send temporary passwords over a TLS-encrypted email channel (SMTP over TLS), must generate each temporary password as a random high-entropy string of at least 12 characters, and must expire the temporary password within 15 minutes of generation.", "This requirement mitigates interception and reuse of temporary passwords (T13) by enforcing transport security, entropy, and short expiration."
R14, A25, T14, "The system must require multi-factor authentication (e.g., a one-time code sent via email or an authenticator app) for all login attempts, in addition to the password, to compensate for the weak password complexity rules described in UC1 and UC11.", "This requirement reduces the risk of dictionary and password spraying attacks (T14) by adding an additional authentication factor beyond the password."
R15, A22, T15, "The system must enforce the session inactivity timeout of exactly 10 minutes as specified in UC2, and must invalidate the session server-side upon timeout, requiring the user to re-authenticate.", "This requirement ensures that the configured timeout (T15) is correctly enforced, reducing the window for session hijacking."
R16, A23, T16, "The system must implement a progressive delay (e.g., 1, 2, 5, 10 seconds) after each failed login attempt instead of a hard lockout after 3 attempts, or alternatively require a CAPTCHA after 2 failed attempts to distinguish human from automated attacks.", "This requirement mitigates easy denial-of-service via account lockout (T16) while still limiting brute-force attacks."
R17, A26, T17, "The system must enforce a temporary password expiration period of no more than 15 minutes from the time of generation, and must invalidate the temporary password immediately after use or after expiration.", "This requirement mitigates the risk of an attacker using a stale temporary password (T17) by limiting its validity window."
R18, A4, T18, "The system must allow only users with the Admin role to modify the enabled flag of any user account; all such modifications must be logged with transaction code 104 as specified in UC1.", "This requirement prevents unauthorized modification of the enabled flag (T18) by enforcing role-based access control and audit logging."
R19, A5, T19, "The system must return a generic error message (e.g., 'Invalid username or password') for both non-existent usernames and incorrect passwords, and must restrict the view of the full user list to Admin role only.", "This requirement prevents username enumeration (T19) by eliminating differential error messages and limiting list access."
R20, A10, T20, "The system must maintain a versioned audit trail for all prescription data changes (create, edit, delete), and must cryptographically hash or sign each prescription record to detect unauthorized tampering.", "This requirement mitigates tampering of prescription data (T20) by providing integrity verification and traceability of changes."
