Threat_ID,Asset_ID,Contextualized_Asset,Threat_Description,STRIDE_Categories,Maps_to_Use_Case,Source,CAPEC_References,CAPEC_Rationale
T1,A1,Repository items and files,"An attacker uploads or alters repository files so that users download malicious or incorrect research materials instead of the intended item.","Tampering; Information Disclosure; Denial of Service",Insufficient Information,CAPEC,"CAPEC-23: File Content Injection; CAPEC-17: Using Malicious Files; CAPEC-165: File Manipulation","Repository workflows explicitly include uploading, viewing, downloading, correcting, and preserving files. CAPEC-23 covers poisoning files with malicious payloads, CAPEC-17 covers malicious files, and CAPEC-165 covers modifying file contents or attributes."
T2,A1,Repository items and files,"A user bypasses intended access paths to reach repository files or items that should not be viewable, including restricted or embargoed content.","Spoofing; Information Disclosure; Elevation of Privilege",Insufficient Information,CAPEC,"CAPEC-87: Forceful Browsing; CAPEC-115: Authentication Bypass","The use case includes private, University-only, public, campus-only, and embargoed content. CAPEC-87 addresses reaching improperly protected application sections, and CAPEC-115 addresses evading authentication to access protected data."
T3,A2,Reports and datasets,"An attacker or unauthorized administrator modifies a report or dataset version, name, status, or content so patrons receive inaccurate current or historical information.","Tampering; Repudiation",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-148: Content Spoofing","Reports and datasets are uploaded, revised, renamed, versioned, unpublished, and marked not viewable. CAPEC-153 applies to manipulating submitted data, while CAPEC-148 applies where altered content appears to come from the legitimate source."
T4,A2,Reports and datasets,"An attacker manipulates report or dataset email-selection behavior so patrons receive unwanted report updates or fail to receive selected updates.","Tampering; Information Disclosure; Denial of Service",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation","The use case allows patrons to select or deselect many reports or datasets for email notification. CAPEC-153 is relevant because the attack depends on manipulating input controlling notification selections."
T5,A4,Research data files,"A depositor uploads a research data file containing hidden malicious data or active content that later affects users who download or process it.","Tampering; Information Disclosure; Denial of Service",Insufficient Information,CAPEC,"CAPEC-636: Hiding Malicious Data or Code within Files; CAPEC-23: File Content Injection","The use case permits faculty and students to upload data files. CAPEC-636 covers hidden malicious data or code inside files, and CAPEC-23 covers poisoning files with malicious payloads."
T6,A5,Supplementary files,"A supplementary dataset, slideshow, or associated file is replaced or altered so the repository presents a misleading supporting file for a scholarly work.","Tampering; Repudiation",Insufficient Information,CAPEC,"CAPEC-165: File Manipulation; CAPEC-148: Content Spoofing","Supplementary files are explicitly included with works. CAPEC-165 maps to changing file contents or attributes, and CAPEC-148 maps to presenting altered content as though it were legitimate."
T7,A8,Item descriptive metadata,"An attacker changes title, author, document type, status, file location, subject area, release frequency, or keywords to misdirect discovery or misrepresent an item.","Tampering; Repudiation; Information Disclosure",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-690: Metadata Spoofing","The use case explicitly lists these metadata fields for repository items. CAPEC-153 applies to manipulating submitted metadata values, and CAPEC-690 applies to spoofing metadata such as apparent source or attributes."
T8,A9,Custom metadata fields,"A library staff workflow is abused to create or alter custom metadata fields in ways that distort search behavior or expose unintended descriptive information.","Tampering; Information Disclosure",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation",Custom metadata fields are created and made searchable in the use case. CAPEC-153 is relevant because the threat involves manipulating field definitions or values submitted to the repository.
T9,A10,Author identity metadata,"An attacker associates a submission with the wrong ORCID, ResearcherID, or author identity so attribution is redirected or confused.","Spoofing; Tampering; Repudiation",Insufficient Information,CAPEC,"CAPEC-151: Identity Spoofing; CAPEC-690: Metadata Spoofing","The use case requires ORCID or ResearcherID to prevent ambiguity between authors. CAPEC-151 covers spoofing identity, and CAPEC-690 covers spoofing metadata associated with a resource."
T10,A11,Reuse rights and license metadata,"An attacker or unauthorized user changes CC-By, CC0, CC license, or reuse-rights metadata so users believe they have different reuse rights than the author intended.","Tampering; Repudiation",Insufficient Information,CAPEC,"CAPEC-153: Input Data Manipulation; CAPEC-148: Content Spoofing","The use case explicitly includes assigning CC licenses and displaying reuse rights. CAPEC-153 maps to manipulated license inputs, and CAPEC-148 maps to deceptive content presented as legitimate rights information."
