Threat_ID, Asset_ID, Contextualized_Asset, Threat_Description, STRIDE_Categories, Maps_to_Use_Case, Source, CAPEC_References, CAPEC_Rationale
T1, A1, "Repository content (reports, datasets, publications, files)", "An attacker with write access modifies repository content, such as inserting false data, deleting legitimate files, or embedding malicious code into uploaded documents.", Tampering, Repository Use Cases, CAPEC, "CAPEC-165: File Manipulation; CAPEC-562: Modify Shared File", "CAPEC-165 describes general file manipulation; CAPEC-562 specifically covers modifying shared files, which aligns with repository content tampering."
T2, A1, "Repository content (reports, datasets, publications, files)", "An attacker bypasses access controls to read embargoed, private, or unpublished repository content, exposing sensitive research.", "Information Disclosure", Repository Use Cases, CAPEC, "CAPEC-126: Path Traversal; CAPEC-200: Removal of filters", "CAPEC-126 enables reading arbitrary files via path manipulation; CAPEC-200 describes disabling filters to expose sensitive data."
T3, A1, "Repository content (reports, datasets, publications, files)", "An attacker launches a denial-of-service attack, such as resource exhaustion, making repository content temporarily or permanently unavailable.", "Denial of Service", Repository Use Cases, CAPEC, "CAPEC-25: Forced Deadlock; CAPEC-227: Sustained Client Engagement; CAPEC-469: HTTP DoS", "CAPEC-25 triggers deadlocks; CAPEC-227 ties up resources; CAPEC-469 describes low-packet HTTP DoS attacks."
T4, A3, "User credentials (passwords)", "An attacker uses phishing or spear-phishing to trick a user into revealing their repository login credentials.", "Spoofing; Information Disclosure", Repository Use Cases, CAPEC, "CAPEC-98: Phishing; CAPEC-163: Spear Phishing", "CAPEC-98 describes general phishing; CAPEC-163 covers targeted spear-phishing, both relevant to credential theft."
T5, A3, "User credentials (passwords)", "An attacker performs a dictionary or brute-force attack against the repository login to guess weak passwords.", Spoofing, Repository Use Cases, CAPEC, "CAPEC-16: Dictionary-based Password Attack; CAPEC-49: Password Brute Forcing", "CAPEC-16 uses wordlists; CAPEC-49 exhaustively tries all possible password combinations."
T6, A3, "User credentials (passwords)", "An attacker deliberately triggers account lockout mechanisms (e.g., by submitting many incorrect passwords) to lock legitimate users out of their accounts.", "Denial of Service", Repository Use Cases, CAPEC, CAPEC-2: Inducing Account Lockout, "CAPEC-2 explicitly describes inducing account lockout by exploiting throttling mechanisms."
T7, A3, "User credentials (passwords)", "An attacker who obtains administrative credentials uses them to elevate privileges and gain full control over the repository system.", "Elevation of Privilege", Repository Use Cases, CAPEC, "CAPEC-233: Privilege Escalation", "CAPEC-233 covers exploiting weaknesses to elevate privilege, applicable when admin credentials are compromised."
T8, A4, "Shibboleth authentication service", "An attacker forges or manipulates SAML assertions or other Shibboleth authentication messages to impersonate a legitimate user or bypass authentication.", "Tampering; Spoofing", Repository Use Cases, CAPEC, "CAPEC-196: Session Credential Falsification through Forging; CAPEC-226: Session Credential Falsification through Manipulation", "CAPEC-196 covers forging session credentials; CAPEC-226 specifically addresses manipulating existing credentials to gain access."
T9, A4, "Shibboleth authentication service", "An attacker overwhelms the Shibboleth service with a denial-of-service attack, preventing users from logging in remotely.", "Denial of Service", Repository Use Cases, CAPEC, "CAPEC-25: Forced Deadlock; CAPEC-227: Sustained Client Engagement", "CAPEC-25 causes deadlocks; CAPEC-227 ties up resources, both leading to DoS of authentication services."
T10, A5, "Embargo settings (embargo dates, visibility flags)", "An attacker with sufficient privileges modifies embargo expiration dates, either making restricted content available earlier than intended or extending embargo beyond authorized periods.", Tampering, Repository Use Cases, CAPEC, "CAPEC-176: Configuration/Environment Manipulation; CAPEC-165: File Manipulation", "CAPEC-176 manipulates configuration settings; CAPEC-165 allows file-level modifications, both applicable to embargo data."
T11, A5, "Embargo settings (embargo dates, visibility flags)", "An attacker exploits misconfigured access controls or input validation flaws to view embargoed items without waiting for the authorized release date.", "Information Disclosure", Repository Use Cases, CAPEC, "CAPEC-180: Exploiting Incorrectly Configured Access Control Security Levels", "CAPEC-180 describes bypassing access controls due to misconfiguration, which can be used to circumvent embargo mechanisms."
