Threat_ID,Asset_ID,Contextualized_Asset,Threat_Description,STRIDE_Categories,Maps_to_Use_Case,Source,CAPEC_References,CAPEC_Rationale
T1,A4,Password used for iTrust2 authentication,"An attacker repeatedly submits guessed passwords for a known user name to gain role-based entry before lockout thresholds stop the attempts.","Spoofing; Elevation of Privilege",UC2,CAPEC,"CAPEC-49: Password Brute Forcing; CAPEC-16: Dictionary-based Password Attack","Password entry is explicitly required for authentication, and the use case defines failed-attempt thresholds; brute-force and dictionary attacks directly model repeated password guessing against that flow."
T2,A3,User name / Medical ID used in authentication and password reset,"An unauthenticated actor submits user names to the password reset flow and distinguishes valid from invalid accounts based on the explicit ""No user found with provided username"" response.","Information Disclosure",UC11,CAPEC,"CAPEC-575: Account Footprinting","The reset flow explicitly accepts a user name and returns a different message for unrecognized usernames, which can reveal whether an account exists."
T3,A8,Authenticated session for role-based entry,"An attacker obtains or reuses an active authenticated session to act as the victim until logout, application close, or inactivity termination occurs.","Spoofing; Elevation of Privilege",UC2,CAPEC,"CAPEC-593: Session Hijacking","The use case explicitly creates authenticated sessions and requires session termination after inactivity; session hijacking directly targets misuse of such authenticated session state."
T4,A8,Inactive authenticated session,"If the ten-minute inactivity termination is bypassed or not applied, an attacker with access to an unattended session could continue using the victim's role-based access.","Spoofing; Elevation of Privilege",UC2,CAPEC,"CAPEC-593: Session Hijacking","The stated control is termination of inactive sessions; failure of that session lifecycle allows the same hijacked-session abuse described by CAPEC-593."
T5,A10,Failed login attempt count for users and IP addresses,"An attacker intentionally generates failed login attempts to exhaust the allowed attempts and trigger user or IP lockout.","Denial of Service",UC2,CAPEC,"CAPEC-2: Inducing Account Lockout","The authentication use case explicitly locks usernames after three failed attempts and IP addresses after six failed attempts, matching intentional lockout induction."
T6,A11,User lockout status after failed authentication,"An attacker manipulates or bypasses the user lockout state so a locked user name receives additional authentication attempts before the 60-minute period expires.","Tampering; Elevation of Privilege",UC2,CAPEC,"CAPEC-262: Manipulate System Resources","The lockout status is security-relevant state controlling whether further authentication is allowed; changing that state is a resource/state manipulation attack."
T7,A12,IP lockout status after failed authentication,"An attacker manipulates the represented IP address or the IP lockout state to avoid the six-failure IP lockout rule.","Tampering; Elevation of Privilege",UC2,CAPEC,"CAPEC-4: Using Alternative IP Address Encodings; CAPEC-267: Leverage Alternate Encoding","The use case defines accepted IPv4 and IPv6 formats for IP values and uses IP addresses for lockout; alternate encodings or validation bypass could undermine IP-based enforcement."
T8,A13,User ban status after repeated lockouts,"An attacker alters the user ban status so a banned account can authenticate without administrator re-authorization.","Tampering; Elevation of Privilege",UC2,CAPEC,"CAPEC-262: Manipulate System Resources","The ban status controls whether an account remains barred until administrator re-authorization; unauthorized modification changes system security state."
T9,A14,IP ban status after repeated lockouts,"An attacker alters the IP ban status so a banned IP address can continue authentication attempts without administrator re-authorization.","Tampering; Elevation of Privilege",UC2,CAPEC,"CAPEC-262: Manipulate System Resources","The IP ban status controls availability of authentication attempts from an address; unauthorized modification changes a security-enforcement resource."
T10,A6,Role assignment selected during user creation,"An attacker causes a user to be assigned a more privileged role, such as Admin or HCP, than intended during user creation or update.","Tampering; Elevation of Privilege",UC1,CAPEC,"CAPEC-233: Privilege Escalation; CAPEC-122: Privilege Abuse","Roles are explicitly used for role-based entry and determine available actions; improper assignment or misuse of privileged role capabilities maps to privilege escalation and privilege abuse."
T11,A7,User enabled / active flag,"An attacker changes a disabled or inactive user to enabled so the account can be used in the system.","Tampering; Elevation of Privilege",UC1,CAPEC,"CAPEC-262: Manipulate System Resources","The enabled or active flag controls whether a user is active in the system; unauthorized changes manipulate security-relevant account state."
T12,A16,Transaction log / audit log,"An attacker deletes, changes, or forges logged events for create, view, edit, delete, authentication, or logout actions to hide misuse of patient data or privileges.","Tampering; Repudiation",UC3,CAPEC,"CAPEC-268: Audit Log Manipulation; CAPEC-93: Log Injection-Tampering-Forging","The logging use case states complete log files are critical for forensics; CAPEC audit-log manipulation and log injection/tampering directly describe misleading or covering tracks in logs."
T13,A18,Logged-in MID recorded in transaction logs,"An attacker alters the logged-in MID in an audit entry so an action appears to have been performed by another user or by an IP address.","Tampering; Repudiation; Spoofing",UC3,CAPEC,"CAPEC-268: Audit Log Manipulation; CAPEC-151: Identity Spoofing","The logged-in MID identifies the actor for audit purposes; changing it both manipulates the log and changes the apparent identity associated with the action."
T14,A19,Secondary MID recorded in transaction logs,"An attacker alters the secondary MID so access to one patient's information appears to involve another patient or no patient.","Tampering; Repudiation",UC3,CAPEC,"CAPEC-268: Audit Log Manipulation","The secondary MID identifies whose information was accessed; manipulating it undermines forensic traceability in the audit log."
