Threat_ID,Asset_ID,Contextualized_Asset,Threat_Description,STRIDE_Categories,Maps_to_Use_Case,Source,CAPEC_References,CAPEC_Rationale
T1,A1,"User Credentials (passwords, Shibboleth tokens) for remote login and personal account access","Attacker obtains credentials via phishing, credential stuffing, or brute force, then impersonates a legitimate faculty member or administrator.","Spoofing","""As a Cornell faculty member, I want to login remotely to the repository using Shibboleth""; ""As a DB/IR administrator, I want to login to personal account with access to authorized functions.""","CAPEC","CAPEC-151: Identity Spoofing; CAPEC-600: Credential Stuffing","CAPEC-151 covers impersonation via stolen credentials; CAPEC-600 describes automated injection of stolen credential pairs."
T2,A1,"User Credentials (Shibboleth session token)","Attacker intercepts or predicts session token after Shibboleth authentication, hijacking an active session.","Spoofing","""As a Cornell faculty member, I want to login remotely to the repository using Shibboleth""","CAPEC","CAPEC-102: Session Hijacking","CAPEC-102 describes attacker taking over an established session by capturing or guessing session identifiers."
T3,A2,"Personal Account Data (email address, subscription preferences, notification settings)","Attacker gains unauthorized access to personal account data, exposing email addresses and altering notification subscriptions without user consent.","Information Disclosure; Tampering","""As a patron, I want to create a personal account to request email notification""; ""As a DB/IR administrator, I want to administrate patron accounts... changing email address, etc.""","CAPEC","CAPEC-116: Excavation; CAPEC-221: Data Tampering","CAPEC-116 models systematic extraction of sensitive data; CAPEC-221 models unauthorized modification of stored data."
T4,A3,"Content Files (reports, datasets, publications)","Attacker modifies uploaded files (e.g., reports, datasets) without authorization, corrupting research materials.","Tampering","""As a faculty member, I want to upload my scholarly work to the repository""; ""As a DB/IR administrator, I want to upload revised report/dataset due to error""","CAPEC","CAPEC-221: Data Tampering","CAPEC-221 directly covers unauthorized alteration of data at rest."
T5,A3,"Embargoed Content Files","Attacker bypasses access controls to view or download content that is under embargo, violating author or publisher restrictions.","Information Disclosure","""As a library staff member, I want to apply or remove an access embargo""; ""As a library staff member, I want to upload an item that will only become visible after a specific embargo period""","CAPEC","CAPEC-116: Excavation","CAPEC-116 models unauthorized data access, applicable to bypassing embargo restrictions."
T6,A3,"Content Files (all)","Attacker deletes or corrupts content files, making them unavailable to patrons (denial of service).","Denial of Service","""As a patron, I want to access a collection... to obtain research materials""; ""As an asset manager, I want to be assured that redundant copies exist""","CAPEC","CAPEC-125: Flooding","While CAPEC-125 is typically network flooding, it extends to resource exhaustion; deletion or corruption causes availability loss."
T7,A4,"Metadata (document title, author, subject, version name, previous names)","Attacker tampers with metadata to misattribute authorship, hide historical names, or alter subject classifications, harming discovery and attribution.","Tampering","""As a DB/IR administrator, I want to manage report/dataset name changes""; ""As a library staff member, I want to create metadata for items""","CAPEC","CAPEC-221: Data Tampering","CAPEC-221 applies to any unauthorized modification of metadata stored in the repository."
T8,A4,"Metadata (potentially sensitive fields)","Attacker extracts metadata that may contain sensitive information (e.g., internal notes, embargo details) via unauthorized access.","Information Disclosure","""As a patron, I want to search for report/dataset with keywords""; ""As a library staff member, I want to add custom metadata fields""","CAPEC","CAPEC-116: Excavation","CAPEC-116 models extraction of information through systematic queries or direct access."
T9,A5,"Embargo Settings (embargo dates, visibility flags)","Attacker modifies embargo settings (e.g., removing or shortening embargo) to prematurely release restricted content or extend embargo to block access.","Tampering","""As a library staff member, I want to apply or remove an access embargo""; ""As a library staff member, I want to upload an item that will only become visible after a specific embargo period""","CAPEC","CAPEC-221: Data Tampering","CAPEC-221 covers unauthorized modification of configuration data such as embargo rules."
T10,A6,"Version History (previous versions, revision records)","Attacker deletes or alters version history, making older versions inaccessible or replacing them with incorrect versions.","Tampering","""As a DB/IR administrator, I want to upload new version while retaining previous versions for patron use""; ""As a faculty member, I want to maintain versioning""","CAPEC","CAPEC-221: Data Tampering","CAPEC-221 applies to tampering with version metadata and stored historical versions."
T11,A7,"Licensing Information (CC-By, CC0, reuse rights)","Attacker modifies licensing statements, e.g., changing a CC-By to a more restrictive license or removing licensing info, causing legal confusion.","Tampering","""As a Cornell faculty member, I want to upload a data file and put a CC-By or CC0 license on it""; ""As a Cornell faculty member, I want to see clearly what reuse rights I have""","CAPEC","CAPEC-221: Data Tampering","CAPEC-221 applies to unauthorized changes to license metadata."
T12,A9,"Subscriber List (email addresses for report/dataset notifications)","Attacker accesses subscriber email list, leading to privacy breach, spam, or targeted phishing attacks.","Information Disclosure","""As a DB/IR administrator, I want to see list of subscribers for specified report""; ""As a patron, I want to select/deselect reports/datasets to be emailed""","CAPEC","CAPEC-116: Excavation","CAPEC-116 models extraction of sensitive lists through unauthorized database or file access."
T13,A10,"Administrator Permissions (roles, access levels)","Attacker gains elevated privileges (e.g., by compromising admin account or exploiting role assignment flaw) to perform unauthorized administrative actions.","Elevation of Privilege","""As a DB/IR administrator, I want to set up or delete accounts for other administrators with various levels of permission""","CAPEC","CAPEC-233: Privilege Escalation","CAPEC-233 describes attacker obtaining higher-level permissions than initially granted."
T14,A11,"Audit Logs (record of revisions, who uploaded an item)","Attacker deletes or modifies audit logs to conceal malicious actions, enabling repudiation of unauthorized changes.","Tampering; Repudiation","""As a library staff member, I want to trace the list of revisors to determine who uploaded an item""; ""As a library staff member, I want to quickly correct errors... leaving a record of my revisions""","CAPEC","CAPEC-221: Data Tampering","CAPEC-221 applies to tampering with log entries; repudiation arises from lack of tamper-proof logs."
T15,A12,"ORCID/ResearcherID Associations","Attacker associates a submission with a wrong ORCID or alters existing associations, causing misattribution and identity fraud.","Tampering; Spoofing","""As a Cornell faculty member, I want to associate a researcherID or ORCID with a submission""","CAPEC","CAPEC-221: Data Tampering","CAPEC-221 applies to modifying identifier links; spoofing occurs if attacker claims another's identity via ORCID."
T16,A15,"Redundant Copies (backup storage)","Attacker corrupts or deletes redundant copies, compromising the ability to restore original assets after primary copy loss.","Tampering; Denial of Service","""As an asset manager, I want to be assured that the digital copy I deposit is stored redundantly""; ""As an asset manager, I want to be assured that the redundant copies are continuously monitored for unwanted changes""","CAPEC","CAPEC-221: Data Tampering; CAPEC-125: Flooding","CAPEC-221 for tampering with backups; CAPEC-125 for availability impact via deletion."
T17,A16,"Export/Import Data Sets (batch records and files)","Attacker injects tampered or malicious files during batch import, or extracts sensitive data during export, compromising integrity and confidentiality.","Tampering; Information Disclosure","""As a repository support team member, I want to export a set of records and associated files, manipulate this data set, and reload into the system""","CAPEC","CAPEC-221: Data Tampering; CAPEC-116: Excavation","CAPEC-221 for tampering during reload; CAPEC-116 for extracting sensitive data during export."
T18,A18,"Session State (logged-in status after Shibboleth or password login)","Attacker performs session fixation or hijacking to assume a logged-in session of another user, bypassing authentication.","Spoofing","""As a Cornell faculty member, I want to login remotely to the repository using Shibboleth""; ""As a DB/IR administrator, I want to login to personal account""","CAPEC","CAPEC-102: Session Hijacking","CAPEC-102 covers capturing or predicting session tokens to impersonate an authenticated user."
T19,A20,"OAI-PMH Metadata Harvesting Endpoint","Attacker harvests metadata that should be restricted (e.g., embargoed item metadata) due to misconfigured OAI-PMH settings, or floods the endpoint to cause denial of service.","Information Disclosure; Denial of Service","""As a librarydiscoveryoperator, I want to harvest useful metadata from the repository via OAI, and continue to do so incrementally""","CAPEC","CAPEC-116: Excavation; CAPEC-125: Flooding","CAPEC-116 for systematic harvesting of metadata; CAPEC-125 for denial of service via excessive requests."
T20,A21,"Large File Transfer Mechanism","Attacker uploads extremely large files or many large files simultaneously to exhaust storage or bandwidth, causing denial of service.","Denial of Service","""As a Cornell faculty member, I want to share on the repository files that are larger than 1GB""","CAPEC","CAPEC-125: Flooding","CAPEC-125 models resource exhaustion; large file uploads can consume disk I/O and storage."
