Requirement_ID, Asset_ID, Threat_ID, Security_Requirement, Rationale
R1, A1, T1, "Implement role-based write access controls that restrict who can modify repository content, and enforce approval workflows for changes to critical items (e.g., publications, datasets).", "This requirement mitigates tampering by ensuring only authorized users can modify content and changes are subject to review before application."
R2, A1, T1, "Maintain cryptographic checksums or fixity information for each repository item, and verify them before serving or updating content.", "Verifying checksums detects unauthorized modifications to repository files, thereby reducing the impact of tampering."
R3, A1, T2, "Enforce attribute-based access controls (ABAC) on all repository items, checking user roles, embargo status, and collection visibility settings before granting read access.", "This requirement prevents information disclosure by ensuring only users with proper permissions can view embargoed, private, or unpublished content."
R4, A1, T2, "Implement input validation and output encoding to prevent path traversal attacks that could bypass access controls to read arbitrary files.", "Path traversal is a common method to access restricted content; input validation blocks such attempts and protects confidentiality."
R5, A1, T3, "Deploy rate limiting and request throttling on repository endpoints, particularly for resource-intensive operations (e.g., bulk downloads, search).", "Rate limiting reduces the feasibility of denial-of-service attacks by preventing a single attacker from overwhelming system resources."
R6, A1, T3, "Implement automatic scaling and load balancing for repository services to absorb unexpected traffic surges.", "Scaling and balancing maintain availability during moderate denial-of-service attempts, mitigating impact on legitimate users."
R7, A3, T4, "Provide user awareness training and display anti-phishing warnings on login pages, and require multi-factor authentication (MFA) for all accounts.", "MFA and user training reduce the likelihood of credential theft via phishing by adding an extra authentication factor."
R8, A3, T4, "Implement email filtering and link rewriting services to detect and block known phishing messages targeting the repository.", "Proactive blocking of phishing emails reduces the number of credential compromise attempts reaching users."
R9, A3, T5, "Enforce a password policy requiring minimum length, complexity, and avoidance of common passwords, and implement lockout after a limited number of failed attempts.", "Strong password policies and lockouts make dictionary and brute-force attacks substantially more difficult."
R10, A3, T5, "Implement rate-limiting on authentication endpoints (e.g., login form, API) to slow down automated password guessing.", "Rate limiting increases the time required for brute-force attacks, giving defenders time to detect and respond."
R11, A3, T6, "Implement account lockout with notification to the user and administrator after a threshold of failed login attempts, but also provide a secure self-service unlock mechanism (e.g., email verification).", "This requirement prevents denial-of-service by lockout while allowing legitimate users to regain access without administrator intervention."
