"Threat_ID","Contextualized_Asset","Threat_Description","STRIDE_Category","Maps_to_Use_Case","Source","CAPEC_Reference"
"T1","A1 - Repository content files and deposited works","An attacker uploads a malicious or unsafe file disguised as legitimate repository content or supplementary material, leading to harmful processing, unsafe delivery, or downstream compromise.","Tampering;Information Disclosure;Denial of Service","UC-Upload-Scholarly-Work; UC-Upload-Data; UC-Upload-Supplementary-Files; UC-View-Upload-Multiple-Formats","CAPEC","CAPEC-17 Using Malicious Files"
"T2","A1 - Repository content files and deposited works","An attacker submits oversized files or abusive bulk uploads to exhaust storage, processing, or delivery capacity and degrade repository availability.","Denial of Service","UC-Upload-Large-Files; UC-Batch-Upload; UC-Streaming-Media; UC-Search-Browse-Repository","CAPEC","CAPEC-125 Flooding; CAPEC-488 HTTP Flood"
"T3","A2 - Item and collection metadata records","An attacker alters titles, authorship, identifiers, license statements, historic-name mappings, or citation metadata so a malicious or incorrect resource appears legitimate.","Tampering;Spoofing;Information Disclosure","UC-Create-Metadata; UC-Manage-Name-Changes; UC-Associate-ORCID; UC-Assign-License; UC-Citation","CAPEC","CAPEC-690 Metadata Spoofing"
"T4","A2 - Item and collection metadata records","An attacker injects active script or unsafe markup into metadata, collection descriptions, or custom fields so that later viewers execute malicious content in their browsers.","Tampering;Information Disclosure;Elevation of Privilege","UC-Create-Custom-Metadata; UC-Search-Browse; UC-View-Item-Metadata; UC-Collection-Branding","CAPEC","CAPEC-592 Stored XSS"
"T5","A3 - Access control and visibility rules","A misconfigured or abused access rule exposes private, internal, University-only, campus-only, or otherwise restricted items to unauthorized users.","Information Disclosure;Elevation of Privilege","UC-Private-University-Public-Access; UC-Campus-Only-Content; UC-Assign-Item-Multiple-Collections; UC-Alias-Item","CAPEC","CAPEC-180 Exploiting Incorrectly Configured Access Control Security Levels; CAPEC-122 Privilege Abuse"
"T6","A4 - Embargo and release-status state","An unauthorized actor changes embargo, visibility, or release status so content is published too early, stays hidden too long, or is improperly unpublished.","Tampering;Elevation of Privilege;Denial of Service","UC-Apply-Remove-Embargo; UC-Delayed-Visibility; UC-Unpublish-Report; UC-Mark-Not-Viewable","CAPEC","CAPEC-122 Privilege Abuse; CAPEC-165 File Manipulation"
"T7","A5 - User and administrator account credentials","An attacker guesses, stuffs, or brute-forces credentials for patron or administrator accounts to gain unauthorized access.","Spoofing;Elevation of Privilege","UC-Admin-Login; UC-Patron-Account; UC-Admin-Search-Accounts; UC-Administer-Patron-Accounts","CAPEC","CAPEC-49 Password Brute Forcing; CAPEC-600 Credential Stuffing; CAPEC-114 Authentication Abuse"
"T8","A6 - Authenticated session and federated login state","An attacker abuses federated authentication or session handling to obtain remote access to campus-only content or privileged functions under another user's identity.","Spoofing;Elevation of Privilege","UC-Remote-Login-Shibboleth; UC-Access-Campus-Only-Content","CAPEC","CAPEC-114 Authentication Abuse; CAPEC-115 Authentication Bypass"
"T9","A7 - Account-management configuration and password-reset workflow","An attacker abuses password-recovery, password-change, or account-administration workflows to reset credentials, change account email, or seize control of an account.","Spoofing;Tampering;Elevation of Privilege","UC-Change-Password; UC-Retrieve-Forgotten-Password; UC-Administrate-Patron-Accounts","CAPEC","CAPEC-50 Password Recovery Exploitation; CAPEC-122 Privilege Abuse"
"T10","A8 - Subscription and notification preferences","An unauthorized actor modifies subscriptions, subscriber lists, or notification preferences, causing users to miss alerts, receive unwanted alerts, or have their interest profiles exposed.","Tampering;Repudiation;Information Disclosure","UC-Select-Deselect-Reports-for-Email; UC-Create-Personal-Account-for-Notifications; UC-See-Subscribers","CAPEC","CAPEC-180 Exploiting Incorrectly Configured Access Control Security Levels; CAPEC-122 Privilege Abuse"
"T11","A9 - Version history and publication lineage","An attacker overwrites, removes, or silently replaces prior versions or historic naming information, preventing users from identifying the authoritative and historical record.","Tampering;Repudiation","UC-Upload-New-Version; UC-Retain-Previous-Versions; UC-Manage-Name-Changes; UC-Previous-Names-and-Date-Ranges","CAPEC","CAPEC-165 File Manipulation"
"T12","A10 - Audit trail and revision history","An attacker alters, suppresses, or avoids revision and account-management logging so unauthorized changes cannot be attributed or investigated.","Repudiation;Tampering","UC-Trace-Revisors; UC-Leave-Record-of-Revisions; UC-Admin-Tracking-Features","CAPEC","CAPEC-165 File Manipulation"
"T13","A11 - Usage statistics and analytics","An unauthorized user accesses or manipulates analytics, altmetrics, or download-notification data, exposing reading behavior or distorting reported impact.","Information Disclosure;Tampering","UC-Usage-Statistics-and-Analytics; UC-Tracking-Statistics; UC-Download-Notifications","CAPEC","CAPEC-180 Exploiting Incorrectly Configured Access Control Security Levels; CAPEC-122 Privilege Abuse"
"T14","A12 - External integration and export interfaces","An attacker abuses OAI, discovery, export/reload, or integration endpoints to exfiltrate metadata at scale or overwhelm service capacity.","Information Disclosure;Denial of Service","UC-OAI-Harvest; UC-Discovery-System-Integration; UC-Export-Manipulate-Reload; UC-Other-Systems-Use-Metadata","CAPEC","CAPEC-125 Flooding; CAPEC-488 HTTP Flood"
"T15","A13 - Preservation copies, fixity, and restore status","An attacker or faulty process modifies repository copies or restore inputs so corrupted assets are propagated, fixity checks are bypassed, or restored outputs no longer match deposited originals.","Tampering;Denial of Service","UC-Redundant-Storage; UC-Monitor-Unwanted-Changes; UC-Restore-Original-Object; UC-Assets-Taken-Out-Are-Same","CAPEC","CAPEC-165 File Manipulation"
