"Asset_ID","Asset_Name","Asset_Type","Tools/Techniques","Criticality","Justification"
"A1","Repository content files and deposited works","Data","File upload; batch upload; multiple file formats; large files >1GB; streaming media; supplementary files; DOI association","High","Compromise could expose, alter, or destroy published and unpublished scholarly content, directly affecting confidentiality, integrity, and long-term availability."
"A2","Item and collection metadata records","Data","Custom metadata fields; author/subject/keywords; document status; release frequency; file locations; name-history mapping; descriptive metadata","High","Metadata drives discovery, attribution, rights, and retrieval; tampering can mislead users, misattribute scholarship, or expose hidden content."
"A3","Access control and visibility rules","Configuration","Private/internal/University/public access options; campus-only content; collection assignment; aliasing/mapping items across collections","High","These rules determine who can view or manage content; errors can expose restricted material or block legitimate access."
"A4","Embargo and release-status state","State","Embargo application/removal; delayed visibility after embargo; release calendar; unpublish/hide flags","High","Improper state changes can prematurely disclose restricted works or hide content that should remain available."
"A5","User and administrator account credentials","Credential","Login; password change; forgotten password recovery; account setup/deletion","High","Credential compromise enables unauthorized access to patron or administrator functions."
"A6","Authenticated session and federated login state","State","Remote login using Shibboleth","High","Session/authentication state governs access to campus-only and privileged functions; compromise can bypass intended trust boundaries."
"A7","Account-management configuration and password-reset workflow","Configuration","Administrator account administration; password reset; email change; account closure","High","Weak reset and account-management controls can let attackers take over accounts or abuse admin workflows."
"A8","Subscription and notification preferences","Data","Email subscriptions; bulk select/deselect; subscriber lists; author download notifications","Medium","Integrity matters because unauthorized changes affect notification delivery and trust; confidentiality matters for subscriber privacy."
"A9","Version history and publication lineage","Data","New version upload; revised upload due to error; retention of previous versions; previous names and date ranges","High","Version lineage is central to scholarly integrity and historical access; tampering can overwrite history or misrepresent the authoritative record."
"A10","Audit trail and revision history","Data","List of revisors; reasons for revisions; tracking features; administrator searches","High","Auditability is needed to investigate changes, verify procedures, and support non-repudiation."
"A11","Usage statistics and analytics","Data","Repository/collection/author/item analytics; altmetrics; download notifications","Medium","Exposure can reveal sensitive usage patterns, while tampering can mislead administrators and faculty."
"A12","External integration and export interfaces","System Component","Symplectic Elements; Activity Insight; OAI harvesting; library discovery integration; export/reload workflows","High","These interfaces affect interoperability and can be abused to extract data at scale, corrupt records, or disrupt service."
"A13","Preservation copies, fixity, and restore status","State","Redundant storage; monitoring for unwanted changes; restoration of original objects; asset withdrawal/export","High","Integrity and availability are mission-critical for preservation; undetected corruption undermines trust in the repository."
