Requirement_ID,Asset_ID,Threat_ID,Security_Requirement,Rationale
R1,A4,T1,"The authentication function shall reject further password authentication attempts for a user name after three failed attempts until the 60-minute lockout period has elapsed.","This mitigates repeated password guessing against the password asset by enforcing the failed-attempt limit described for UC2."
R2,A4,T1,"The authentication function shall count failed password attempts separately for each user name and shall reset the allowed-attempt counter only after the defined 60-minute lockout period expires.","This makes the lockout behavior verifiable and reduces the likelihood that repeated guessing can continue against a password."
R3,A3,T2,"The password reset function shall return a response that does not reveal whether the submitted user name exists in the system.","This reduces account enumeration risk against the user name / Medical ID asset."
R4,A3,T2,"The password reset function shall not send a temporary password or reset link unless the submitted user name corresponds to an existing user with a valid associated email address.","This limits reset processing to valid accounts while avoiding disclosure of account validity to the requester."
R5,A8,T3,"The system shall bind each authenticated session to the authenticated user identity and role established at successful login.","This reduces the impact of session misuse by requiring the session state to represent the correct authenticated principal."
R6,A8,T3,"The system shall invalidate the authenticated session when the user logs out or closes the iTrust2 application.","This mitigates reuse of authenticated session state after the session should no longer be valid."
R7,A8,T4,"The system shall terminate any authenticated session that has been inactive for more than ten minutes.","This directly enforces the inactivity termination requirement for the authenticated session asset."
R8,A8,T4,"After inactivity termination, the system shall require the user to authenticate again before accessing any role-based page or function.","This prevents continued use of an inactive authenticated session."
R9,A10,T5,"The authentication function shall lock a user name for 60 minutes after three failed login attempts with that user name.","This mitigates denial-of-service and brute-force misuse by enforcing the explicit per-user threshold."
R10,A10,T5,"The authentication function shall lock an IP address for 60 minutes after six failed login attempts from that IP address across any number of users or non-existent usernames.","This mitigates repeated failed login attempts originating from the same IP address as specified in UC2."
R11,A11,T6,"The system shall deny authentication attempts for a user name while that user name is in the 60-minute lockout period.","This prevents bypass of the user lockout state."
R12,A11,T6,"The system shall update user lockout status only as a result of the defined failed-login rules or administrator re-authorization where applicable.","This reduces unauthorized tampering with the user lockout state."
R13,A12,T7,"The system shall validate IP address values used for lockout decisions against the IPv4 and IPv6 formats specified in UC2 before applying failed-attempt counting.","This reduces bypass of IP lockout by malformed or alternate IP representations."
R14,A12,T7,"The system shall deny authentication attempts from an IP address while that IP address is in the 60-minute lockout period.","This enforces the IP lockout state and prevents continued attempts during lockout."
R15,A13,T8,"The system shall deny authentication for a banned user until the user is re-authorized by a system administrator.","This mitigates unauthorized use of a banned user account."
R16,A13,T8,"The system shall change user ban status only when the user has been locked out three times in a 24-hour period or when a system administrator re-authorizes the user.","This makes user ban-state transitions verifiable and limits unauthorized tampering."
R17,A14,T9,"The system shall deny authentication attempts from a banned IP address until the IP address is re-authorized by a system administrator.","This mitigates continued authentication attempts from a banned IP address."
R18,A14,T9,"The system shall change IP ban status only when the IP address has been locked out three times in a 24-hour period or when a system administrator re-authorizes the IP address.","This makes IP ban-state transitions verifiable and limits unauthorized tampering."
R19,A6,T10,"The user management function shall allow only authenticated Admin users to assign or change a user's role.","This mitigates unauthorized role assignment and elevation of privilege."
R20,A6,T10,"The system shall restrict role values during user creation or update to the roles explicitly listed in UC1.","This prevents assignment of unsupported or unintended roles."
R21,A7,T11,"The user management function shall allow only authenticated Admin users to set or change a user's enabled or active flag.","This mitigates unauthorized activation of inactive accounts."
R22,A7,T11,"The system shall deny login for any user whose enabled or active flag is set to disabled or inactive.","This ensures the enabled / active state controls account access as intended."
R23,A16,T12,"The system shall create a transaction log entry for every create, view, edit, delete, failed login, successful login, and logout event described in the use cases.","This mitigates audit evasion by requiring complete logging for security-relevant actions."
R24,A16,T12,"The system shall prevent ordinary users from editing or deleting transaction log entries through use-case functions.","This reduces the likelihood of audit log tampering."
R25,A18,T13,"For each logged event, the system shall record the MID of the authenticated user performing the action or the IP address where the use case specifies IP Address.","This preserves accurate actor attribution in the logged-in MID field."
R26,A18,T13,"The system shall derive the logged-in MID in transaction logs from the authenticated session rather than from user-editable form input.","This reduces spoofing or tampering with actor identity in audit records."
R27,A19,T14,"For each logged event involving another user's or patient's information, the system shall record the appropriate secondary MID specified by the relevant use case logging table.","This preserves accurate traceability to the affected user or patient."
R28,A19,T14,"The system shall derive the secondary MID from the accessed record or selected patient context rather than from arbitrary user-editable log input.","This reduces tampering with the secondary MID in audit records."
R29,A20,T15,"The system shall record a timestamp for each transaction log entry using the UC2 time format YYYY-MM-DD HH:MM:SS.","This makes logged event timing consistent and verifiable."
R30,A20,T15,"The system shall prevent users from manually supplying or modifying transaction timestamps through the described use-case forms.","This mitigates timestamp tampering that could obscure event chronology."
R31,A21,T16,"The demographics function shall reject demographic submissions that do not match the field formats specified in UC4.6.","This mitigates corruption of patient demographics through invalid or malformed input."
R32,A21,T16,"The demographics function shall permit patient demographic edits only through the patient or HCP flows described in UC4 and UC12.","This reduces unauthorized modification of demographic records."
R33,A22,T17,"The demographics function shall validate email address values against the UC4.6 email format before saving them to a patient demographic record.","This mitigates redirection of reset and alert communications through invalid or manipulated email values."
R34,A22,T17,"The password reset function shall send reset messages only to the email address currently associated with the submitted valid user account.","This reduces the risk that reset credentials are sent to an unintended address."
R35,A31,T18,"The appointment request function shall reject appointment request fields that do not match the formats specified in UC6.6.","This mitigates tampering with appointment request data through invalid input."
R36,A31,T18,"The appointment request function shall associate each submitted request with the authenticated patient submitting the request.","This prevents one patient from creating appointment requests as another patient."
R37,A32,T19,"The system shall allow only the HCP involved in an appointment request to approve or decline that request.","This mitigates unauthorized appointment status changes."
R38,A32,T19,"The system shall log each appointment request approval or denial with the HCP as the logged-in MID and the patient as the secondary MID.","This provides traceability for appointment status changes."
R39,A34,T20,"The office visit function shall allow only an authenticated HCP to document or edit an office visit.","This mitigates unauthorized modification of office visit records."
R40,A34,T20,"The office visit function shall reject office visit fields that do not conform to the data formats specified in UC7.7 and any collected data formats referenced by UC7.","This reduces corruption of office visit records through invalid input."
R41,A35,T21,"The system shall limit office visit and diagnosis notes to the maximum lengths specified in the applicable use case data formats.","This mitigates malformed or excessive note content in clinical records."
R42,A35,T21,"The system shall associate each saved note with the office visit or diagnosis record for which it was submitted.","This reduces the likelihood that notes are applied to the wrong clinical context."
R43,A36,T22,"The basic health metrics function shall reject height, length, weight, head circumference, blood pressure, cholesterol, household smoking status, and patient smoking status values that do not match UC8.6.","This mitigates corruption of basic health metrics through invalid or out-of-range values."
R44,A36,T22,"The basic health metrics function shall allow creation or editing of metrics only while an authenticated HCP is documenting or editing the associated office visit.","This limits modification of health metrics to the workflow described in UC8."
R45,A37,T23,"The basic health metrics function shall accept blood pressure only when both systolic and diastolic values are positive integers of at most three digits.","This directly mitigates tampering with blood pressure values through invalid input."
R46,A37,T23,"The system shall save blood pressure values only as part of the associated patient's office visit basic health metrics.","This preserves the integrity of the clinical context for blood pressure data."
R47,A38,T24,"The basic health metrics function shall accept HDL only from 0 to 90 inclusive, LDL only from 0 to 600 inclusive, and triglycerides only from 100 to 600 inclusive.","This mitigates tampering with cholesterol values through out-of-range input."
R48,A38,T24,"The system shall reject cholesterol values for patients where UC8 does not require cholesterol collection based on the patient's age category.","This reduces inappropriate or misleading cholesterol data in basic health metrics."
R49,A41,T25,"The diagnosis function shall allow only an authenticated HCP to create, edit, or delete a patient diagnosis associated with an office visit.","This mitigates unauthorized modification of patient diagnosis records."
R50,A41,T25,"The diagnosis function shall allow patients to view their current and past diagnoses but shall not allow patients to edit diagnosis records or associated diagnosis data.","This enforces the read-only patient access described in UC10."
R51,A42,T26,"The diagnosis function shall accept ICD-10 codes only when they match the format specified in UC10.6.","This mitigates tampering with diagnosis codes through invalid input."
R52,A42,T26,"The diagnosis function shall require a patient diagnosis to use a diagnosis option labeled by an ICD-10 code and description from the system diagnosis list.","This reduces the likelihood of arbitrary or unsupported diagnosis codes being added to patient records."
R53,A44,T27,"The diagnosis list management function shall allow only authenticated Admin users to add, edit, or delete ICD-10 diagnosis codes and descriptions.","This mitigates unauthorized administrative changes to the diagnosis list."
R54,A44,T27,"The diagnosis list management function shall reject diagnosis descriptions longer than 250 characters.","This enforces the UC10.6 format constraint and reduces malformed diagnosis-list entries."
R55,A45,T28,"The prescription function shall allow only an authenticated HCP documenting an office visit to add, modify, or delete prescriptions for that office visit.","This mitigates unauthorized modification of prescription records."
R56,A45,T28,"The prescription viewing function shall allow a patient to view their current and past prescriptions but shall not allow the patient to create, modify, or delete prescriptions.","This enforces the patient read-only prescription access described in UC9."
R57,A46,T29,"The NDC drug management function shall allow only authenticated Administrator users to add, edit, or delete NDC drug records.","This mitigates unauthorized modification of the drug catalog."
R58,A46,T29,"The NDC drug management function shall reject drug names, codes, or descriptions that do not match the Drug data formats specified in UC9.6.","This reduces corruption of NDC drug records through invalid input."
R59,A47,T30,"The prescription function shall accept drug identifiers only as NDC codes matching the UC9.6 code format.","This mitigates tampering with prescription drug association through invalid NDC codes."
R60,A47,T30,"The prescription function shall require the selected prescription drug to correspond to a drug tracked by the system.","This prevents prescriptions from referencing untracked drug names or codes."
R61,A48,T31,"The prescription function shall accept prescription dosage only as a positive integer in milligrams.","This mitigates tampering with prescription dosage through invalid dosage values."
R62,A48,T31,"The system shall store the submitted prescription dosage with the associated prescription and office visit record.","This preserves the integrity and traceability of dosage data."
R63,A49,T32,"The prescription function shall require both prescription start and end dates to be entered in the Month Day, Year format specified in UC9.6.","This mitigates tampering with prescription dates through malformed input."
R64,A49,T32,"The prescription function shall reject a prescription where the end date precedes the start date.","This reduces the likelihood of an invalid prescription period."
R65,A50,T33,"The prescription function shall accept the number of renewals only as a positive integer.","This mitigates tampering with renewal count through invalid input."
R66,A50,T33,"The system shall store the renewal count with the associated prescription record and include it when the patient views prescriptions.","This preserves the integrity and visibility of the renewal data."
R67,A51,T34,"The access log function shall display to an authenticated user only that user's access log entries.","This mitigates unauthorized disclosure of another user's access-log information."
R68,A51,T34,"The access log function shall include accessor name, accessor role relative to the patient when applicable, date and time of access, and transaction type for each displayed access entry.","This preserves the integrity and completeness of access-log records shown to the user."
R69,A54,T35,"The access log function shall reject an invalid date or a date range where the end date is before the start date.","This directly mitigates manipulated date filters as described in UC13."
R70,A54,T35,"When an invalid access-log date range is submitted, the system shall show no events and allow the user to select different dates.","This enforces the UC13 alternative flow and limits misleading results from invalid filters."
R71,A55,T36,"The password reset function shall permit a temporary password to be used only as the current password during the password change flow described in UC11.","This limits how the temporary password asset can be used."
R72,A55,T36,"The system shall reject an expired temporary password and require the user to request another one.","This mitigates unauthorized use of stale temporary credentials."
R73,A56,T37,"The password reset function shall send a reset link only to the email address associated with the valid user account.","This reduces exposure of reset links to unintended recipients."
R74,A56,T37,"The reset link shall be usable only for the account for which the reset request was made.","This mitigates misuse of a reset link against another account."
R75,A57,T38,"The system shall track whether each temporary password has expired before accepting it in the password change flow.","This mitigates use of expired temporary credentials."
R76,A57,T38,"The system shall display the UC11 expired-temporary-password error and deny password change when the temporary password expiration state indicates expiration.","This makes expiration-state enforcement testable."
R77,A58,T39,"The password reset email shall include a temporary password and reset link only for a valid user account with an associated valid email address.","This reduces the risk of reset material being generated for invalid or unverified account data."
R78,A58,T39,"The password reset email shall not include the user's current or new permanent password.","This limits credential disclosure in reset email content."
R79,A59,T40,"The password change notification email shall include the MID but shall not include the password.","This enforces the explicit UC14 content restriction and reduces credential disclosure."
R80,A59,T40,"The system shall send a password change notification email after a successful password change or reset.","This mitigates suppression of account-activity notification."
R81,A60,T41,"The system shall send an appointment status notification email when the HCP involved in the appointment request changes the request status.","This mitigates inaccurate or missing patient notification for appointment status changes."
R82,A60,T41,"The appointment status notification email shall reflect the saved appointment request status after the HCP action is completed.","This reduces the likelihood that patients receive misleading status content."
R83,A61,T42,"The system shall send an account lockout notification email when a user account has been locked out temporarily or permanently due to too many failed logins.","This mitigates suppression of account lockout notification."
R84,A61,T42,"The account lockout notification email shall identify the lockout event without disclosing the user's password.","This reduces sensitive credential disclosure while notifying the user."
R85,A62,T43,"The system shall create a tracked email record for each password change, appointment request status, and account lockout email alert sent by iTrust2.","This preserves auditability of email alerts."
R86,A62,T43,"The system shall prevent ordinary users from modifying tracked email records through the described use-case functions.","This mitigates tampering or repudiation involving tracked email records."
R87,A64,T44,"For every field with a specified data format in the use cases, the system shall validate submitted values against that format before saving the value.","This mitigates input manipulation against the shared data format rules."
R88,A64,T44,"When submitted data does not match a required field format, the system shall reject the submission and prompt the user to correct the invalid field.","This enforces the validation error behavior repeatedly described across the use cases."
R89,A65,T45,"The system shall determine patient visibility of logged transactions according to the Patient Viewable value specified in the applicable use case logging table.","This mitigates unauthorized hiding or exposure of audit events."
R90,A65,T45,"The system shall not allow patients or HCPs to modify the Patient Viewable value of transaction log entries.","This reduces tampering with audit visibility configuration."
R91,A66,T46,"The system shall enforce role-based access so patients can view their own permitted medical records but cannot edit clinical data that the use cases designate as HCP-managed.","This mitigates patient-side elevation of privilege and tampering."
R92,A66,T46,"The system shall enforce role-based access so HCP users can access or modify patient information only through the HCP flows described in the applicable use cases.","This mitigates unauthorized HCP access outside the described workflows."
R93,A67,T47,"The user management function shall require an authenticated Admin session before presenting create-user, delete-user, or update-user actions.","This mitigates unauthorized use of user management functionality."
R94,A67,T47,"The system shall log user creation, deletion, update, and view actions using the UC1 transaction codes and actor fields.","This provides accountability for privileged user management actions."
R95,A68,T48,"The authentication function shall grant role-based entry only after the submitted user name and password are successfully validated for an enabled user account.","This mitigates spoofing and unauthorized access through the authentication component."
R96,A68,T48,"The authentication function shall enforce user lockout, IP lockout, user ban, and IP ban rules before allowing role-based entry.","This mitigates bypass of authentication enforcement state."
R97,A69,T49,"The logging function shall record the MID of the logged-in user, any appropriate secondary MID, transaction type, and current timestamp for create, view, edit, and delete actions.","This implements the core logging data required to support forensic accountability."
R98,A69,T49,"The logging function shall record failed login, successful login, and logout events using the transaction code ranges defined for authentication-related events.","This mitigates repudiation by ensuring authentication events are captured."
R99,A70,T50,"The email alert function shall generate alerts only for the events specified in UC14: password change or reset, appointment request status change, and account lockout.","This limits spoofed or inappropriate email alerts to the described workflow triggers."
R100,A70,T50,"The email alert function shall track every generated alert within the iTrust2 application and log the corresponding alert event.","This mitigates repudiation and tampering by preserving traceability for email alerts."
