"Requirement_ID","Asset_ID","Threat_ID","Security_Requirement","Rationale"
"R1","A1","T1","The repository shall validate each uploaded file against an allowlisted set of permitted file types for the target submission workflow, store the original file without server-side execution privileges, and reject uploads whose detected type does not match the declared or expected type.","This reduces the risk that malicious files are accepted and later processed or delivered as trusted repository content."
"R2","A1","T2","The repository shall enforce configurable per-file, per-batch, and per-user upload limits and shall reject or throttle requests that exceed those limits with an auditable error response.","This makes storage and processing exhaustion from abusive uploads testable and bounded."
"R3","A2","T3","The repository shall restrict changes to authorship, identifier, rights, citation, and historic-name metadata to authorized roles and shall record the old value, new value, actor, and timestamp for each such change.","This protects high-value metadata from spoofing and preserves evidence of integrity-relevant edits."
"R4","A2","T4","The repository shall encode or sanitize all user-supplied metadata and collection-description fields before storage and again before rendering them in any HTML response, and a security test shall verify that script payloads are rendered inert.","This directly mitigates stored script injection through metadata-bearing fields."
"R5","A3","T5","The repository shall enforce authorization checks on every read, search, browse, export, and direct-link request using the current item and collection visibility rules before returning content or metadata beyond public-safe fields.","This prevents restricted items from being exposed through alternate access paths or misapplied visibility rules."
"R6","A4","T6","The repository shall require an authorized role plus a recorded reason for any embargo, unpublish, or release-status change, and shall preserve the prior state and effective timestamp in an immutable audit record.","This limits unauthorized publication-state changes and supports later verification."
"R7","A5","T7","The repository shall rate-limit failed login attempts, lock or step-up authenticate accounts after a configurable threshold of consecutive failures, and log each failed authentication event with account identifier and source information.","This makes credential-guessing attacks materially harder and operationally detectable."
"R8","A6","T8","The repository shall create a new authenticated session identifier after successful federated login, invalidate the session on logout, and deny access to campus-only content when required federated-authentication attributes are absent or expired.","This reduces session abuse and ensures campus-only access depends on valid current authentication state."
"R9","A7","T9","The repository shall require proof of control over a pre-registered recovery channel before password reset or account-email change, and shall invalidate all active sessions immediately after a successful credential reset.","This prevents takeover through weak recovery and stale authenticated sessions."
"R10","A8","T10","The repository shall require authenticated authorization for any create, delete, bulk-update, or view action on subscription records and shall generate an audit entry for each change showing actor, target account, action, and timestamp.","This protects notification preferences and subscriber privacy while enabling dispute resolution."
"R11","A9","T11","The repository shall preserve each published version as a distinct retrievable record, prohibit silent overwrite of an existing version, and visibly identify the current version and all prior versions to end users.","This preserves scholarly lineage and makes unauthorized replacement or loss of history detectable."
"R12","A10","T12","The repository shall log security-relevant actions including uploads, metadata edits, access-state changes, account changes, and version changes in an append-only audit trail that is not editable through normal administrative interfaces.","This supports non-repudiation and investigation of unauthorized activity."
"R13","A11","T13","The repository shall restrict access to detailed usage statistics, subscriber information, and download-notification data to authorized roles and shall expose only aggregated or public-safe metrics to unauthorized users.","This limits disclosure of sensitive behavior and reduces the impact of analytics misuse."
"R14","A12","T14","The repository shall apply request-rate limits and pagination limits to harvesting, export, search, and integration endpoints and shall terminate requests that exceed configured service thresholds.","This reduces the likelihood that bulk extraction or endpoint abuse degrades availability or leaks data at scale."
"R15","A13","T15","The repository shall verify fixity for each preserved copy on a defined schedule and before restore, and shall block restoration if the restored object's checksum does not match the recorded checksum of the accepted deposited version.","This makes corruption and unauthorized modification of preserved assets detectable before bad copies are propagated."
