Requirement_ID,Asset_ID,Threat_ID,Security_Requirement,Rationale
R1,A1,T1,"The system MUST enforce multi-factor authentication (MFA) for all login attempts, including Shibboleth-based remote access and personal account logins.","MFA mitigates credential theft and stuffing attacks by requiring an additional factor beyond the password."
R2,A1,T1,"The system MUST implement rate limiting and account lockout after a configurable number of failed login attempts to prevent brute-force attacks.","Rate limiting and lockout directly reduce the feasibility of brute-force and credential stuffing."
R3,A1,T2,"The system MUST use secure, HttpOnly, SameSite=Strict cookies for session tokens and require session re-authentication for privileged operations.","These cookie attributes prevent client-side script access and CSRF, reducing session hijacking risk."
R4,A1,T2,"The system MUST invalidate sessions after a configurable period of inactivity and upon logout.","Session timeouts limit the window for hijacking idle sessions."
R5,A2,T3,"The system MUST enforce access controls so that personal account data is only readable and writable by the authenticated account owner and authorized administrators with a documented need.","Access controls prevent unauthorized disclosure or tampering of email and subscription preferences."
R6,A2,T3,"The system MUST log all access and modifications to personal account data with a timestamp and actor identity, and make logs available for periodic review.","Audit logging enables detection of unauthorized access and tampering, supporting accountability."
R7,A3,T4,"The system MUST compute a cryptographic checksum (e.g., SHA-256) for each uploaded content file upon deposit and verify it before serving the file; any mismatch must trigger an integrity alert.","Checksum verification detects unauthorized tampering with stored content files."
R8,A3,T4,"The system MUST enforce write-access controls that only allow authorized users (e.g., the depositor, admins, or delegated staff) to modify or replace a content file.","Access controls prevent unauthorized modification of research materials."
R9,A3,T5,"The system MUST enforce embargo-based access controls such that content with an active embargo is not readable by any user except authorized administrators, and the embargo expiration is checked on each access request.","Strict access control based on embargo dates prevents premature disclosure."
R10,A3,T5,"The system MUST log all attempts to access embargoed content, including successful and unsuccessful access, with timestamp, user identity, and IP address.","Logging provides detection and forensic evidence of attempted embargo bypass."
R11,A3,T6,"The system MUST implement role-based access controls that prevent unauthorized deletion of content files; deletion should require a privileged role and may require a second approval.","Access controls reduce the risk of malicious or accidental deletion causing denial of service."
R12,A3,T6,"The system MUST maintain redundant copies of all content files (as in A15) and provide a restoration mechanism for administrators.","Redundancy mitigates availability loss from deletion or corruption."
R13,A4,T7,"The system MUST enforce write-access controls on metadata, allowing only authorized users (depositor, admins, delegated staff) to modify metadata fields such as title, author, and subject.","Access controls prevent tampering that could misattribute or hide historical information."
R14,A4,T7,"The system MUST maintain a versioned audit trail of all metadata changes, including previous values, change timestamp, and user identity.","Versioned audit trails enable rollback and accountability for metadata tampering."
